establecimiento,filas,dataset
"('COLEGIO COBAN', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO VERAPAZ', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO LA INMACULADA', 'alta_verapaz')",[],alta_verapaz
"('ESCUELA NACIONAL DE CIENCIAS COMERCIALES', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE ', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO IMPERIAL', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE IIAV', 'alta_verapaz')",[],alta_verapaz
"('LICEO MODERNO LATINO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO DE INFORMATICA CENINFAV', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO EVANGELICO LA PATRIA', 'alta_verapaz')",[],alta_verapaz
"('LICEO AMERICANO DEL NORTE', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO LA LIBERTAD', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO PRIVADO RAUL CHENAL HEINEMANN', 'alta_verapaz')",[],alta_verapaz
"('LICEO MIGUEL ANGEL ASTURIAS', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO CRISTIANO BILINGUE VERBO', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO NUEVOS SENDEROS', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL IMEBI', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO HISPANOAMERICANO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MAYA COMUNITARIO K AMOLB E', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO DE INFORMÁTICA CENINFAV', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA', 'alta_verapaz')",[],alta_verapaz
"('ICA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO SANTO DOMINGO', 'alta_verapaz')",[],alta_verapaz
